team,off_epa,off_success,pass_rate,off_pass_epa,off_rush_epa,def_epa,def_pass_epa,def_rush_epa
ARI,-0.021,0.438,0.696,0.006,-0.072,0.059,0.097,0.007
ATL,-0.021,0.447,0.578,-0.031,-0.007,0.012,-0.008,0.035
BAL,-0.008,0.436,0.557,-0.088,0.076,0.003,0.031,-0.039
BUF,0.144,0.481,0.566,0.183,0.102,0.011,-0.074,0.11
CAR,-0.022,0.434,0.571,-0.036,-0.005,0.079,0.12,0.026
CHI,0.067,0.457,0.575,0.06,0.074,-0.013,-0.009,-0.017
CIN,-0.056,0.432,0.671,-0.078,-0.014,0.168,0.219,0.109
CLE,-0.199,0.336,0.633,-0.278,-0.076,-0.095,-0.086,-0.106
DAL,0.103,0.465,0.635,0.155,0.022,0.149,0.188,0.093
DEN,0.067,0.441,0.619,0.106,0.009,-0.072,-0.083,-0.052
DET,0.116,0.457,0.577,0.189,0.017,-0.011,0.018,-0.053
GB,0.139,0.482,0.56,0.253,0.011,0.012,0.067,-0.063
HOU,0.006,0.415,0.615,0.049,-0.054,-0.136,-0.206,-0.028
IND,0.109,0.474,0.594,0.098,0.123,-0.022,0.012,-0.076
JAX,0.016,0.448,0.594,0.024,0.006,-0.09,-0.113,-0.046
KC,0.097,0.47,0.66,0.124,0.055,0.0,0.013,-0.016
LA,0.154,0.522,0.585,0.239,0.038,-0.076,-0.093,-0.05
LAC,-0.014,0.44,0.622,-0.035,0.014,-0.079,-0.116,-0.026
LV,-0.206,0.386,0.656,-0.178,-0.253,0.057,0.132,-0.025
MIA,0.001,0.424,0.575,-0.002,0.004,0.054,0.088,0.015
MIN,-0.115,0.427,0.63,-0.17,-0.033,-0.043,-0.082,-0.004
NE,0.117,0.465,0.607,0.238,-0.027,-0.025,-0.029,-0.02
NO,-0.113,0.424,0.625,-0.121,-0.101,-0.013,0.027,-0.051
NYG,0.009,0.418,0.59,0.002,0.016,0.128,0.075,0.202
NYJ,-0.096,0.423,0.609,-0.132,-0.054,0.12,0.18,0.057
PHI,0.044,0.439,0.569,0.075,0.01,-0.079,-0.129,-0.017
PIT,0.023,0.443,0.596,0.034,0.007,0.019,0.008,0.034
SEA,0.037,0.465,0.53,0.133,-0.066,-0.087,-0.051,-0.144
SF,0.072,0.483,0.586,0.151,-0.031,0.056,0.091,0.005
TB,-0.021,0.417,0.612,-0.054,0.023,0.004,0.051,-0.07
TEN,-0.163,0.377,0.666,-0.226,-0.05,0.105,0.17,0.023
WAS,-0.001,0.457,0.586,-0.027,0.027,0.152,0.224,0.068
